N,P,K,Ph,Temperature(C),Rainfall(cm),Humidity,Crop
60,45,50,6.8,23,150,75,papaya
43,70,78,6.2,30,44,67,chickpea
83,55,37,6.2,24,115,70,rice
0,35,26,7.4,20,103,70,mango
15,67,20,7.3,23,88,68,pigeonpeas
16,10,11,6.4,22,140,67,orange
3,137,204,6.6,12,50,63,grapes
31,7,36,6.9,25,57,65,pomegranate
16,38,22,6.3,28,69,67,mothbeans
10,123,198,6.1,10,25,61,grapes
38,36,29,6.3,33,105,76,mango
32,13,13,6.6,29,122,66,orange
67,53,18,7.2,20,92,51,maize
23,76,20,6.7,24,77,62,pigeonpeas
98,9,49,6.3,20,84,72,muskmelon
22,24,42,6.5,24,94,63,pomegranate
106,44,20,6.7,20,54,67,cotton
138,47,25,6,25,100,62,cotton
23,54,17,6.1,22,76,63,mungbean
19,140,199,6.5,7,98,62,apple
101,70,49,7,28,200,79,banana
19,10,37,6.9,28,87,63,pomegranate
65,65,51,6.2,28,125,70,papaya
6,5,36,6.9,31,91,61,pomegranate
26,76,19,6.1,20,74,64,blackgram
72,44,39,5.7,34,129,78,rice
37,53,20,6.1,21,86,62,mothbeans
100,23,47,6.3,20,100,80,muskmelon
24,32,35,6.7,28,199,70,mango
37,60,83,7.1,29,35,69,chickpea
14,44,22,6.3,29,62,67,mungbean
4,29,34,6.8,34,159,77,coconut
63,55,22,7,21,77,52,maize
38,69,15,6.9,28,93,70,blackgram
1,71,18,6.4,26,81,67,kidneybeans
24,22,31,7.4,29,169,80,coconut
5,29,9,6.5,23,129,67,orange
127,54,21,6.4,27,61,61,cotton
21,6,30,7.5,31,158,76,coconut
66,53,22,7.1,26,56,54,maize
130,57,16,6.5,28,88,66,cotton
10,27,35,7.3,30,187,72,mango
39,80,17,7.1,24,89,69,blackgram
69,58,55,6.9,22,112,73,papaya
22,23,25,6.9,24,150,75,mango
40,30,45,6.2,29,94,66,pomegranate
79,52,37,6.2,25,124,79,rice
35,17,12,6.3,23,117,62,orange
10,126,201,6.4,5,121,68,apple
7,37,24,6.2,22,57,61,mungbean
13,60,20,5.7,31,51,66,pigeonpeas
79,59,24,7.2,20,86,54,maize
24,50,17,6.1,31,67,69,mungbean
14,25,42,7,27,90,68,pomegranate
34,67,46,6.5,25,84,72,papaya
2,79,23,6.7,25,59,70,pigeonpeas
11,5,5,7,26,105,65,orange
45,58,17,7.4,34,93,69,blackgram
87,5,54,6.4,20,71,79,muskmelon
67,49,50,6.8,21,100,80,papaya
101,46,20,6.4,21,85,68,cotton
6,36,15,6.1,34,64,60,mungbean
18,39,17,7,28,84,64,mungbean
34,76,19,6.8,25,92,61,lentil
19,62,15,6.3,26,82,60,kidneybeans
26,23,35,7.3,29,190,79,coconut
17,42,20,6.8,25,98,67,mothbeans
34,66,76,6.9,28,43,68,chickpea
29,35,21,6.2,28,55,61,mungbean
25,140,195,6.6,8,92,62,apple
35,61,15,5.9,23,95,69,pigeonpeas
49,68,54,7,26,141,73,papaya
39,79,21,6.6,28,79,69,kidneybeans
1,123,202,6.8,14,42,70,grapes
134,53,15,6.8,21,60,70,cotton
108,75,54,6.3,20,151,76,banana
15,138,205,6.9,14,32,70,grapes
17,5,30,6.5,22,179,72,coconut
17,131,199,6.9,8,123,64,apple
30,58,21,7.2,29,76,66,mothbeans
4,9,6,6.2,30,100,63,orange
12,75,16,6.1,28,81,67,kidneybeans
22,24,10,6.4,25,94,69,orange
17,38,35,6.4,23,158,79,mango
40,22,26,6.1,27,167,72,coconut
99,9,46,6.9,20,81,78,watermelon
52,80,75,6.9,22,69,60,chickpea
33,28,41,6.1,36,87,69,pomegranate
86,28,49,6.2,20,60,73,muskmelon
17,140,202,6.7,15,52,68,grapes
8,25,34,6.1,31,172,71,coconut
21,71,15,6.8,23,51,69,kidneybeans
25,55,16,6.6,21,95,66,kidneybeans
39,30,28,6.7,23,119,73,mango
40,31,33,6.4,25,156,70,mango
68,50,55,6.6,29,94,76,papaya
73,55,19,7.4,26,70,57,maize
139,51,16,6.5,30,57,64,cotton
40,36,24,7,32,73,66,mothbeans
69,65,46,6.8,23,81,73,papaya
4,47,20,6.9,28,68,68,mothbeans
38,122,198,6.9,5,96,66,apple
15,7,26,6.4,25,151,70,coconut
70,43,20,7.2,23,95,53,maize
36,22,5,6.6,30,94,66,orange
96,79,54,5.9,21,163,77,banana
57,60,15,7.2,24,53,60,blackgram
58,65,53,6,22,119,80,papaya
64,68,52,6.7,26,123,76,papaya
111,18,52,6.8,20,56,74,watermelon
11,79,24,6.8,25,84,70,lentil
24,22,25,7.1,26,101,72,mango
80,28,45,6.5,20,66,72,watermelon
0,80,19,5.6,31,72,68,pigeonpeas
88,78,50,7,27,164,78,banana
64,63,50,6.7,20,97,73,papaya
97,27,53,6.8,20,61,76,watermelon
5,141,200,6.5,5,135,64,apple
98,40,19,6.4,30,55,60,maize
29,8,7,6.2,22,134,64,orange
104,40,25,6.6,24,78,62,cotton
30,127,204,6.8,6,131,64,apple
118,58,24,6.1,26,63,64,cotton
37,26,44,6.3,31,74,68,pomegranate
2,143,205,6.4,11,59,60,grapes
37,61,15,6.3,21,92,64,kidneybeans
6,59,24,6.3,25,89,69,lentil
35,73,20,6.5,20,76,65,kidneybeans
85,12,49,6.3,20,64,75,muskmelon
27,5,10,6.5,20,127,66,orange
134,41,23,6.7,23,65,70,cotton
40,68,82,6.9,30,67,64,chickpea
59,57,53,6,23,109,76,papaya
27,25,15,6.7,29,107,64,orange
119,16,47,6.6,20,55,73,muskmelon
84,82,46,5.6,27,162,77,banana
94,30,51,6.5,20,59,76,watermelon
81,23,50,6.1,20,74,74,muskmelon
13,50,17,7.3,34,63,61,mothbeans
15,24,26,7.1,26,179,73,coconut
62,51,45,6.2,22,94,78,papaya
11,20,29,7.1,32,187,75,coconut
40,11,43,6.2,22,97,62,pomegranate
15,71,19,6.6,27,65,60,lentil
119,10,50,6.4,20,86,80,muskmelon
95,92,55,6.1,29,160,73,banana
31,73,77,7.4,30,88,63,chickpea
107,56,18,6.9,26,65,70,cotton
30,76,16,7.1,30,62,64,blackgram
40,58,80,6.3,23,58,70,chickpea
12,62,24,6.9,27,75,67,lentil
30,65,20,6.3,20,86,70,lentil
30,129,199,6.1,16,26,66,grapes
3,77,18,6.8,34,87,64,pigeonpeas
29,46,20,6.2,22,59,60,mothbeans
117,24,46,6.6,20,89,80,watermelon
6,61,15,6.8,29,81,64,lentil
20,22,12,6.3,21,77,64,orange
53,69,45,6.1,30,132,77,papaya
20,68,15,6.5,28,87,62,lentil
11,60,21,6.5,32,97,61,mungbean
20,57,25,6.8,20,58,61,kidneybeans
34,60,22,6,27,82,64,kidneybeans
5,47,17,7.1,20,74,61,mothbeans
7,61,15,6.3,33,75,66,pigeonpeas
24,78,16,7.2,32,73,62,pigeonpeas
24,21,38,6,21,56,67,pomegranate
89,16,52,6.1,20,51,77,muskmelon
42,53,46,6.8,22,143,71,papaya
100,29,53,6.7,20,93,71,watermelon
37,26,32,7.3,33,164,80,coconut
10,73,25,6.9,24,84,66,lentil
122,36,20,6.2,22,80,64,cotton
99,38,36,5.5,31,142,71,rice
120,54,16,6.7,23,92,64,cotton
38,7,34,7.3,29,163,71,coconut
5,30,12,6.2,30,97,68,orange
31,122,200,6,12,45,64,grapes
23,27,15,6.1,20,135,62,orange
12,19,9,6.1,22,86,60,orange
30,137,205,6.5,11,62,64,grapes
20,28,29,6.5,27,124,70,mango
0,68,21,6.2,30,59,67,lentil
35,68,15,7.4,21,60,70,blackgram
21,64,17,7.4,32,56,69,blackgram
18,61,15,6.9,24,71,63,pigeonpeas
40,57,23,7.5,32,81,63,blackgram
111,7,52,6.1,20,74,70,watermelon
81,81,51,5.6,26,152,72,banana
35,24,34,6.8,32,196,79,mango
20,38,19,6.8,27,52,65,mothbeans
1,46,19,6.5,33,72,65,mothbeans
77,59,23,6.6,29,97,50,maize
40,125,200,6.5,19,34,69,grapes
101,23,54,6.6,20,68,76,muskmelon
92,57,37,6.9,27,116,76,rice
1,18,8,6.3,28,135,68,orange
102,43,18,6.6,28,92,66,cotton
59,61,82,6.6,26,92,65,chickpea
30,63,50,6.5,22,117,70,papaya
16,11,35,6.9,37,99,60,pomegranate
60,59,54,6,24,118,77,papaya
131,41,19,7,24,94,67,cotton
60,45,16,7.4,28,57,58,maize
12,28,36,6.8,36,70,60,pomegranate
27,42,21,7,35,57,64,mungbean
32,11,15,6.2,21,121,68,orange
15,19,44,6,32,84,68,pomegranate
22,73,20,6.1,35,79,60,blackgram
12,73,24,7.4,29,93,67,pigeonpeas
119,25,50,6.1,20,87,77,watermelon
24,35,29,6.2,20,105,79,mango
85,45,37,7,25,149,70,rice
39,79,17,5.6,25,76,66,pigeonpeas
26,45,21,7.1,24,56,60,mothbeans
109,15,49,6.4,20,75,71,muskmelon
26,60,19,6.5,32,60,60,pigeonpeas
5,25,8,6.9,24,122,63,orange
38,29,5,6.8,20,129,60,orange
32,65,48,6.8,20,116,70,papaya
99,37,43,5.6,29,121,72,rice
105,54,20,6.8,24,95,63,cotton
0,37,23,6.7,20,74,69,mungbean
62,61,47,6.8,25,84,72,papaya
16,142,201,6.2,5,111,62,apple
40,62,75,6.4,26,80,62,chickpea
114,58,15,6.1,24,97,62,cotton
24,30,25,7.4,33,162,72,coconut
30,76,76,6.6,30,28,60,chickpea
19,35,15,7.4,26,70,68,mothbeans
14,80,18,7.4,29,85,60,pigeonpeas
59,67,78,7,21,77,69,chickpea
82,44,15,6.4,30,61,59,maize
15,35,19,6.1,24,85,63,mothbeans
32,68,22,6.7,22,64,63,lentil
84,92,47,6.2,21,176,76,banana
11,30,10,6.5,25,115,63,orange
55,64,24,7.5,20,91,66,blackgram
25,39,21,6.7,23,57,67,mungbean
32,124,200,6.1,8,126,60,apple
114,29,46,6.5,20,57,79,watermelon
33,65,19,7,34,67,67,blackgram
38,57,19,6.8,20,83,67,lentil
25,9,43,6.5,25,91,70,pomegranate
4,61,23,6,22,80,67,kidneybeans
38,143,197,6,16,79,63,grapes
17,22,30,6.6,32,178,80,mango
31,22,25,6,35,135,78,mango
11,9,15,6.2,28,148,61,orange
120,17,55,6.7,20,87,78,muskmelon
105,10,45,6.4,20,81,77,watermelon
18,44,22,7,22,62,68,mungbean
111,77,55,6.8,28,165,76,banana
33,75,76,6,25,87,61,chickpea
19,56,25,6.1,31,80,67,mungbean
12,50,15,6.2,28,57,60,mungbean
24,74,23,6.2,27,98,68,kidneybeans
125,46,20,6.8,25,94,64,cotton
5,61,24,7.1,30,57,63,pigeonpeas
98,9,49,6.1,20,50,72,muskmelon
96,11,54,7,20,83,73,muskmelon
134,46,15,6.4,30,87,65,cotton
53,60,45,6.9,22,112,77,papaya
60,66,54,6.1,27,120,76,papaya
126,41,15,6.3,29,60,69,cotton
122,50,19,6.5,23,66,62,cotton
6,39,15,6.2,34,54,61,mungbean
56,62,22,6.1,21,85,61,blackgram
12,137,204,6.3,12,99,65,grapes
4,139,200,6.9,19,85,63,grapes
22,63,20,6.3,21,66,60,pigeonpeas
23,45,17,6.4,23,75,66,mothbeans
31,67,17,6.6,24,78,65,lentil
64,61,52,6,20,102,73,papaya
2,16,29,7.3,23,199,70,coconut
61,55,21,6.8,20,99,51,maize
28,48,22,6.8,26,87,68,mothbeans
82,10,48,6.5,20,50,79,watermelon
17,54,24,6.9,33,61,60,mothbeans
32,36,26,6.3,28,123,74,mango
95,25,55,6.2,20,50,73,muskmelon
17,17,41,6.3,37,74,65,pomegranate
84,89,53,5.9,27,183,78,banana
22,8,26,6.5,27,189,80,coconut
101,22,47,7,20,77,74,muskmelon
19,10,9,6.5,24,81,68,orange
91,29,52,7,20,63,78,muskmelon
94,11,47,6.7,20,58,74,watermelon
0,74,19,6.3,30,96,64,kidneybeans
106,17,55,6.5,20,70,79,muskmelon
115,45,17,6.1,24,52,69,cotton
52,67,45,6.2,30,105,74,papaya
124,47,23,6.1,25,54,60,cotton
14,46,17,6.9,20,70,63,mungbean
99,51,18,7.2,23,68,58,maize
5,58,16,6.3,33,50,70,mungbean
13,20,37,7,22,79,64,pomegranate
52,57,17,6.7,35,72,65,blackgram
30,57,18,6.7,21,56,64,lentil
55,56,54,6.5,22,108,79,papaya
110,88,51,6.5,23,163,73,banana
26,64,16,7,23,52,69,lentil
63,57,43,5.8,28,150,79,rice
24,80,22,6,28,66,63,blackgram
7,19,25,6.2,33,150,79,coconut
34,58,25,6.1,26,94,63,lentil
5,138,197,6.4,11,61,64,grapes
2,58,19,6.3,35,76,64,mungbean
20,133,200,6.7,10,131,60,apple
6,58,20,6.9,22,98,60,kidneybeans
20,27,10,6.8,23,107,68,orange
13,123,201,6.4,5,107,63,apple
23,79,78,7.3,26,100,64,chickpea
103,40,22,6.3,30,95,67,cotton
2,70,24,6.8,25,98,67,lentil
28,42,19,6.6,27,96,67,mungbean
114,42,16,6.9,25,81,65,cotton
54,76,24,7.1,29,100,69,blackgram
37,36,27,6.8,35,149,70,mango
28,17,40,6.6,26,52,69,pomegranate
35,56,23,6.7,32,71,63,blackgram
89,95,55,6.8,28,161,72,banana
104,25,48,6.1,20,71,79,watermelon
30,67,18,5.8,24,51,60,pigeonpeas
107,18,51,6.3,20,72,75,muskmelon
80,10,48,6.9,20,53,72,muskmelon
3,140,205,6.3,6,94,63,apple
59,59,76,6.9,21,85,68,chickpea
7,130,195,6.3,15,99,68,grapes
12,60,15,6.6,30,62,68,kidneybeans
27,25,14,6.4,20,145,64,orange
5,120,203,6.9,17,83,60,grapes
89,44,18,7.1,20,81,60,maize
3,128,197,6.5,11,68,68,grapes
114,5,52,6.7,20,84,74,muskmelon
19,72,17,6.6,20,82,60,kidneybeans
10,140,200,6.4,8,143,69,apple
79,51,22,6.6,21,78,58,maize
37,58,78,6.1,28,49,68,chickpea
34,66,17,6.6,23,75,61,kidneybeans
37,52,21,7,24,57,60,mothbeans
45,53,46,6.8,28,123,72,papaya
32,24,31,6.6,33,195,72,coconut
2,128,196,6.2,5,111,68,apple
95,52,18,6.2,20,92,53,maize
111,40,20,6.3,30,75,68,cotton
60,77,18,7.2,24,82,65,blackgram
19,62,17,5.8,20,76,61,pigeonpeas
52,62,77,7,21,82,67,chickpea
35,27,14,6.7,29,106,64,orange
76,41,43,6.6,26,126,80,rice
2,20,35,6.6,40,53,70,pomegranate
12,133,196,7,18,30,67,grapes
29,18,29,6.9,24,154,80,mango
12,120,199,6.4,13,37,70,grapes
33,40,22,6.1,34,55,68,mothbeans
30,64,19,6.2,25,99,63,lentil
24,75,75,6.9,25,55,70,chickpea
5,28,30,7,21,103,72,mango
1,20,39,7,23,56,70,pomegranate
24,15,33,6.7,22,168,80,mango
118,73,52,6.2,28,154,80,banana
119,21,46,6.8,20,71,70,muskmelon
21,78,19,6.3,20,63,67,blackgram
18,36,18,6.7,29,73,64,mothbeans
12,20,10,6.1,26,130,61,orange
91,37,42,6.1,21,150,74,rice
24,55,20,6.7,28,79,67,lentil
12,26,35,7.2,23,157,77,coconut
90,83,47,6.3,23,158,73,banana
104,13,52,6.2,20,93,71,watermelon
26,74,16,7.4,32,69,64,blackgram
116,86,45,6.9,29,192,72,banana
28,28,5,6.9,25,91,62,orange
7,28,30,7.1,31,154,79,coconut
27,125,195,6.9,5,109,61,apple
40,65,15,5.6,21,81,61,pigeonpeas
56,68,50,6.1,26,93,73,papaya
91,93,45,5.5,21,189,78,banana
88,24,48,6.4,20,73,71,watermelon
68,60,53,7,30,76,80,papaya
24,12,7,6.2,30,144,62,orange
32,71,25,7,21,52,66,lentil
67,52,41,6.8,35,135,72,rice
38,73,20,6.3,30,80,66,kidneybeans
28,41,17,6.3,25,63,65,mungbean
109,43,16,6.1,26,99,63,cotton
3,42,21,6.7,23,72,63,mothbeans
88,27,47,6.3,20,69,70,watermelon
3,142,204,6.9,6,136,64,apple
74,42,39,6,27,128,76,rice
28,71,25,6.4,20,67,65,lentil
7,29,35,7.1,26,200,80,coconut
11,71,24,6.6,33,53,62,pigeonpeas
18,131,205,6.4,11,41,70,grapes
90,5,55,6.2,20,90,77,muskmelon
34,38,31,6.9,32,176,80,mango
34,56,79,6.5,22,39,61,chickpea
27,71,22,6.9,23,60,67,lentil
64,61,46,6.6,23,92,70,papaya
116,59,24,6.3,23,52,69,cotton
138,41,24,6.1,24,92,60,cotton
85,8,55,6.7,20,58,73,watermelon
40,62,77,7,28,58,66,chickpea
23,57,22,7.4,22,58,61,mothbeans
81,23,47,6.8,20,85,72,muskmelon
85,49,40,5.5,31,146,74,rice
7,138,202,6.7,11,25,63,grapes
9,36,24,7.2,31,85,64,mothbeans
127,56,25,6.4,28,70,69,cotton
40,52,52,6.6,27,145,75,papaya
36,58,16,6.4,27,81,66,kidneybeans
65,62,52,6.6,24,121,79,papaya
83,11,49,6.8,20,86,73,muskmelon
35,72,21,7,20,80,61,lentil
35,60,17,6.8,23,85,69,lentil
81,45,23,7.1,20,51,55,maize
24,131,195,6.4,7,147,65,apple
33,46,49,6.6,26,144,77,papaya
23,65,16,6.9,34,91,70,blackgram
22,76,21,6.8,23,87,67,lentil
28,124,196,6.4,12,88,68,grapes
102,82,46,5.8,25,186,73,banana
56,51,46,6.9,27,108,77,papaya
68,46,20,6.6,21,78,50,maize
13,128,204,6.7,18,72,66,grapes
36,39,32,6.1,29,181,72,mango
22,17,14,6.1,24,77,65,orange
76,53,23,7.4,23,75,54,maize
33,49,48,6.5,29,107,80,papaya
26,123,204,6.8,9,104,65,apple
6,55,16,6.8,35,67,69,mungbean
45,80,81,6.9,27,85,66,chickpea
3,132,198,6.6,18,51,70,grapes
29,41,18,6.7,35,94,63,mungbean
102,13,54,6.5,20,71,78,muskmelon
64,35,39,5.7,25,103,78,rice
14,12,31,6.3,30,163,75,coconut
17,27,6,6.5,30,143,65,orange
29,24,40,6.6,40,81,64,pomegranate
27,70,15,6.6,27,81,61,kidneybeans
99,73,49,6,25,195,79,banana
22,60,21,6.6,29,64,60,mothbeans
113,78,47,6.1,28,186,77,banana
75,54,41,6.1,28,123,76,rice
37,32,34,6.9,29,122,75,mango
33,63,77,6.9,24,35,60,chickpea
21,60,21,6.7,25,84,60,mungbean
27,5,43,6.7,36,61,63,pomegranate
35,58,45,6,24,135,73,papaya
16,120,199,6.5,13,68,61,grapes
21,30,33,7.2,26,168,70,coconut
22,8,14,6.7,26,106,63,orange
29,30,33,6.4,30,172,76,mango
24,59,20,6.8,34,96,65,mungbean
14,30,41,6.2,30,91,62,pomegranate
104,58,20,6.3,21,61,66,cotton
38,30,40,6.3,39,98,63,pomegranate
22,18,28,6.8,32,188,78,coconut
97,95,48,6.3,26,184,73,banana
31,75,76,6.9,28,91,67,chickpea
25,74,21,6.5,31,93,67,blackgram
21,62,22,6.1,20,74,64,lentil
57,63,77,7.3,21,88,66,chickpea
28,54,21,7.3,26,100,65,mothbeans
28,30,12,6.6,28,87,61,orange
2,8,14,6.4,25,127,67,orange
7,69,20,6.8,27,54,65,pigeonpeas
137,58,15,6.5,28,61,61,cotton
18,41,21,6.1,20,64,70,mothbeans
3,72,17,5.9,27,100,69,pigeonpeas
69,53,52,6.6,24,135,71,papaya
3,141,196,6.5,10,59,64,grapes
104,38,25,6.5,23,94,64,cotton
34,66,23,6.3,25,67,65,lentil
30,58,20,6.2,26,84,66,mungbean
136,47,15,6.1,28,54,67,cotton
16,7,12,6.7,21,91,68,orange
103,27,45,6.9,20,65,72,muskmelon
12,73,19,5.6,35,80,66,pigeonpeas
37,5,5,6.2,24,108,66,orange
17,67,17,6.2,28,80,62,lentil
95,41,23,7.1,30,93,54,maize
18,134,205,6.7,10,128,62,apple
55,71,78,6.4,21,97,63,chickpea
11,53,24,6.9,20,79,66,mungbean
8,132,205,6.6,8,116,62,apple
118,86,45,6.1,25,198,79,banana
7,63,19,5.7,35,88,64,pigeonpeas
106,52,18,6.7,26,68,65,cotton
33,130,202,6.1,5,79,66,apple
5,15,29,7.2,26,181,79,mango
72,48,44,6.7,30,106,73,rice
28,66,20,6.2,29,91,60,kidneybeans
52,48,50,6.1,29,123,75,papaya
118,71,54,5.8,24,198,71,banana
84,9,47,6.3,20,100,78,muskmelon
80,58,42,6,26,145,79,rice
27,66,23,7.3,23,74,67,blackgram
34,58,19,7.2,25,51,69,pigeonpeas
25,68,82,7.5,28,92,68,chickpea
17,53,15,6.8,29,62,65,mothbeans
31,58,21,6.9,26,62,62,mungbean
17,21,27,7.1,33,137,79,mango
25,77,25,7.2,22,97,66,blackgram
108,13,47,6,20,52,75,muskmelon
35,56,18,6.1,26,55,65,blackgram
51,61,84,6.9,30,57,61,chickpea
31,15,14,6.1,29,116,61,orange
35,37,17,6,34,98,69,mungbean
25,24,45,6,26,57,69,pomegranate
36,68,25,6.4,29,95,69,kidneybeans
11,135,199,6.8,7,138,70,apple
10,60,24,7,25,72,67,kidneybeans
13,65,21,6.5,26,89,69,kidneybeans
62,50,38,5.6,27,102,71,rice
18,76,20,7,25,56,62,pigeonpeas
76,41,40,6.8,21,103,73,rice
40,67,18,6.7,22,59,60,lentil
58,78,77,6.4,30,71,60,chickpea
29,77,76,6.9,24,79,69,chickpea
100,12,51,6.8,20,56,73,watermelon
1,11,45,7,33,67,66,pomegranate
11,32,25,7.4,31,138,70,mango
26,46,18,6.6,34,59,62,mungbean
84,73,55,5.6,26,194,79,banana
35,77,24,6.1,24,51,64,lentil
119,78,52,5.5,25,157,80,banana
116,14,48,6.7,20,78,78,muskmelon
125,43,23,6.9,23,70,67,cotton
108,76,52,6,20,191,79,banana
33,15,14,6.7,21,91,63,orange
24,10,27,6.5,34,154,75,coconut
31,130,198,6.1,18,52,69,grapes
95,51,36,6.4,23,129,74,rice
0,58,20,6.2,22,87,62,mothbeans
9,15,33,7.4,24,184,76,coconut
17,76,19,6.6,30,50,66,lentil
28,60,17,7.3,20,72,65,blackgram
28,64,20,6.9,27,69,66,pigeonpeas
25,135,204,6.4,17,25,62,grapes
11,143,195,6.9,10,41,66,grapes
35,129,200,6.7,11,89,63,grapes
26,26,26,7.3,26,196,70,coconut
33,143,197,6.5,11,100,61,grapes
59,69,25,6.7,24,86,62,blackgram
120,52,25,6.6,20,98,66,cotton
112,24,51,6.7,20,74,74,watermelon
20,80,84,6.2,23,75,69,chickpea
30,10,43,6.5,29,53,63,pomegranate
39,19,26,7.4,28,134,79,mango
39,59,17,6.4,29,76,63,pigeonpeas
76,35,23,6.6,20,72,50,maize
38,65,18,6.3,25,81,63,kidneybeans
32,51,54,6.4,24,117,78,papaya
69,58,15,6.2,23,55,51,maize
47,60,85,6.9,30,78,66,chickpea
86,50,38,6,27,143,79,rice
2,128,197,6.4,16,84,62,grapes
15,6,6,6.4,25,118,64,orange
14,20,38,6.6,35,55,69,pomegranate
130,47,24,6.6,21,77,68,cotton
25,80,18,6.2,25,71,70,kidneybeans
37,22,32,6.3,31,179,80,coconut
63,41,25,6.3,29,67,50,maize
39,69,21,5.6,22,57,66,pigeonpeas
15,35,17,7.4,20,78,61,mothbeans
10,56,16,7.2,28,67,61,pigeonpeas
68,42,45,6,21,106,78,rice
95,11,47,6.4,20,82,78,muskmelon
17,54,20,6.5,22,100,70,mungbean
3,55,18,7.4,29,94,63,pigeonpeas
19,50,15,6.3,29,78,60,mothbeans
108,5,52,6.4,20,67,78,watermelon
17,67,23,6.9,21,73,64,kidneybeans
14,47,20,6.8,23,74,67,mothbeans
120,10,46,6.9,20,71,71,watermelon
39,19,25,6.5,25,184,79,coconut
37,128,203,6,6,128,65,apple
59,60,55,6.2,25,109,71,papaya
31,71,23,7.4,26,90,66,pigeonpeas
31,72,25,6.5,23,80,65,pigeonpeas
11,19,35,7.3,25,167,73,coconut
29,135,203,6.6,18,30,69,grapes
31,60,21,6,24,91,63,mungbean
35,66,17,6.5,20,96,60,kidneybeans
40,62,85,7.4,22,35,61,chickpea
40,55,20,7,30,91,64,mothbeans
85,47,19,6.9,26,61,58,maize
103,18,49,6.5,20,64,73,watermelon
25,43,24,6.7,27,75,65,mungbean
18,9,40,6.5,40,64,64,pomegranate
40,42,21,6.3,30,99,66,mungbean
7,60,15,6.8,30,80,67,mothbeans
15,51,15,7.4,21,58,68,mothbeans
15,120,204,6.8,10,102,64,apple
21,21,10,6.3,23,132,66,orange
38,50,23,6.7,29,91,65,mungbean
40,60,15,6.6,23,54,67,kidneybeans
11,75,17,6.1,30,57,63,lentil
21,71,17,5.8,25,78,69,pigeonpeas
23,65,83,7.3,28,60,62,chickpea
100,81,52,6,23,186,71,banana
84,6,50,6.9,20,92,72,muskmelon
91,53,38,6.1,32,145,76,rice
3,7,39,6.4,29,53,60,pomegranate
11,37,17,6.3,23,55,64,mungbean
93,59,18,7.1,28,77,59,maize
123,56,19,6.5,23,79,68,cotton
23,60,15,6.5,26,79,62,lentil
10,61,17,6.3,30,52,62,pigeonpeas
34,26,25,6.8,23,181,71,mango
24,17,14,6.7,29,120,61,orange
47,73,77,7,25,92,70,chickpea
39,122,199,6.7,14,66,64,grapes
14,25,11,7,28,119,68,orange
39,59,79,7.4,25,67,64,chickpea
76,40,25,7.3,28,71,52,maize
4,64,24,7,30,59,66,kidneybeans
74,37,42,6.4,30,147,77,rice
7,49,21,6.6,33,64,60,mothbeans
23,49,23,6.5,27,83,70,mungbean
40,22,35,6.6,23,191,74,coconut
34,56,22,6.9,26,67,63,blackgram
16,44,24,6.4,26,75,63,mothbeans
0,24,12,6.9,25,125,62,orange
61,44,35,6.1,25,111,74,rice
86,12,46,6.1,20,97,75,muskmelon
36,62,25,6.8,25,57,69,kidneybeans
15,35,30,7.3,32,154,75,mango
31,57,23,6.1,26,87,67,kidneybeans
37,60,76,6.8,28,62,70,chickpea
7,72,17,7.5,26,53,68,pigeonpeas
89,11,53,6.8,20,69,76,watermelon
25,80,81,6.7,27,36,64,chickpea
124,43,23,6.1,24,92,62,cotton
35,59,20,6.5,21,83,63,lentil
80,83,49,6.7,20,190,77,banana
15,35,20,7.2,31,70,65,mothbeans
9,141,198,6.4,6,116,60,apple
119,73,46,6.9,27,150,70,banana
120,90,48,6.8,29,195,74,banana
64,55,54,6.8,20,108,72,papaya
39,127,201,6.6,8,86,65,apple
135,48,25,6.2,24,61,70,cotton
26,76,17,7.3,26,81,69,pigeonpeas
28,29,25,7.3,31,143,70,mango
4,44,18,6.5,33,75,61,mungbean
36,20,26,6.4,23,188,74,coconut
2,130,205,6.5,5,98,63,apple
136,42,16,6.3,30,66,61,cotton
9,72,16,7.1,24,78,61,pigeonpeas
17,32,31,6.6,25,187,78,mango
115,8,45,6.7,20,70,74,watermelon
21,39,20,6.9,26,58,62,mothbeans
67,60,38,6.8,31,131,75,rice
112,29,52,6.7,20,62,79,muskmelon
122,41,16,6.5,29,80,70,cotton
6,131,199,6.7,19,33,63,grapes
42,75,76,6.7,22,87,63,chickpea
92,28,54,6.4,20,70,74,watermelon
94,50,25,6.2,29,61,58,maize
96,48,40,6.9,21,148,77,rice
3,21,29,6.3,25,177,71,coconut
84,56,21,6.2,30,65,52,maize
123,36,23,6.7,28,62,67,cotton
92,8,48,6,20,75,71,watermelon
11,14,33,6.3,30,154,77,coconut
19,6,32,6.7,33,188,74,coconut
29,128,196,6.4,9,140,62,apple
109,43,17,7,23,91,68,cotton
52,75,17,6.3,21,76,66,blackgram
35,21,10,6.6,21,128,68,orange
39,15,35,6.8,33,155,77,mango
88,49,43,6.7,29,119,74,rice
101,16,51,6.3,20,71,80,watermelon
44,74,79,6.3,30,93,60,chickpea
84,58,21,6.7,21,62,51,maize
7,17,31,6.6,30,151,72,coconut
3,76,18,5.6,34,62,68,pigeonpeas
21,30,15,6.9,24,81,63,orange
65,52,25,7,23,67,58,maize
94,70,53,6.6,29,185,79,banana
16,10,45,6.8,36,60,66,pomegranate
